epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6346,3.99232,8.35846,3.90315,0.00891,0.04032,0.00539,0.00177,4.1335,4.35378,3.66728,0.0703,0.0033,0.0033
2,28.8036,3.67077,4.71414,3.49045,3e-05,0.01839,2e-05,0,3.72591,4.21348,3.22995,0.0402672,0.0066005,0.0066005
3,42.6967,3.60348,4.66953,3.31819,0.0001,0.02936,7e-05,3e-05,3.65683,4.04902,3.13145,0.0102013,0.009868,0.009868
4,56.8228,3.5452,4.61166,3.2626,0.00039,0.033,0.00022,6e-05,3.65429,3.96358,3.05841,0.0098515,0.0098515,0.0098515
5,70.9225,3.55852,4.53917,3.22041,0.00019,0.0265,0.0026,0.00052,3.76239,3.84373,3.04372,0.009802,0.009802,0.009802
6,85.0196,3.52205,4.563,3.21884,6e-05,0.03891,4e-05,1e-05,3.66312,3.83567,3.09558,0.0097525,0.0097525,0.0097525
7,99.0175,3.52273,4.5387,3.20369,4e-05,0.03448,4e-05,0,3.61303,4.37359,3.05109,0.009703,0.009703,0.009703
8,113.13,3.44234,4.56626,3.26954,0.0002,0.07251,0.00016,3e-05,3.52477,3.8464,2.9776,0.0096535,0.0096535,0.0096535
9,127.044,3.51301,4.55832,3.2858,0.00111,0.0548,0.00061,0.0001,3.6201,3.88024,3.05909,0.009604,0.009604,0.009604
10,140.935,3.47802,4.5555,3.2378,0.00255,0.06005,0.00192,0.00034,3.5061,4.10223,3.01056,0.0095545,0.0095545,0.0095545
11,154.951,3.43652,4.53008,3.16475,0.00053,0.07366,0.00033,7e-05,3.48494,4.00337,2.93565,0.009505,0.009505,0.009505
12,168.902,3.38394,4.51713,3.08392,0.00207,0.06941,0.00122,0.00019,3.48545,4.04084,2.96464,0.0094555,0.0094555,0.0094555
13,183.056,3.35058,4.51148,3.03165,0.01007,0.07277,0.00777,0.0016,3.40543,3.9518,2.87662,0.009406,0.009406,0.009406
14,197.087,3.33714,4.49318,3.02311,0.00399,0.11957,0.0022,0.00045,3.26311,4.07594,2.77492,0.0093565,0.0093565,0.0093565
15,211.046,3.34402,4.52106,2.99031,0.00831,0.1077,0.00469,0.00065,3.33836,4.08722,2.88114,0.009307,0.009307,0.009307
16,225.134,3.30194,4.52029,2.97918,0.00728,0.13548,0.00477,0.00082,3.27167,3.9739,2.87261,0.0092575,0.0092575,0.0092575
17,239.185,3.24196,4.51969,2.96309,0.00063,0.12013,0.00049,0.00013,3.28893,4.11527,2.89893,0.009208,0.009208,0.009208
18,253.147,3.24619,4.51139,2.95387,0.00479,0.06812,0.00269,0.00069,3.33682,4.03944,2.91317,0.0091585,0.0091585,0.0091585
19,267.306,3.20908,4.50681,2.94148,0.00282,0.17068,0.00193,0.00052,3.34871,3.96006,2.96118,0.009109,0.009109,0.009109
20,281.333,3.1773,4.52915,2.94605,0.00292,0.18837,0.00639,0.0014,3.3367,4.00903,2.98095,0.0090595,0.0090595,0.0090595
21,295.384,3.12677,4.50085,2.91851,0.00635,0.28072,0.01584,0.0035,3.26457,3.90897,2.88738,0.00901,0.00901,0.00901
22,308.85,3.15489,4.46523,2.89789,0.00838,0.24207,0.01789,0.00563,3.33773,4.02516,2.94802,0.0089605,0.0089605,0.0089605
23,322.52,3.08922,4.39826,2.86684,0.00445,0.30835,0.00819,0.00221,3.25006,3.9602,2.94722,0.008911,0.008911,0.008911
24,336.482,3.0398,4.35324,2.85519,0.00299,0.39625,0.02848,0.00679,3.17707,3.71351,2.89476,0.0088615,0.0088615,0.0088615
25,350.742,3.04859,4.29007,2.84077,0.00365,0.42552,0.02191,0.00527,3.1193,3.83715,2.84795,0.008812,0.008812,0.008812
