epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.238,3.97759,5.33674,3.81202,0,0.0023,0,0,3.86027,4.19913,3.3202,0.0703,0.0033,0.0033
2,36.6372,3.58204,4.94814,3.41885,0.00097,0.04699,0.0011,0.00038,3.56113,4.00217,3.08101,0.0402672,0.0066005,0.0066005
3,54.3043,3.57812,4.64238,3.2761,4e-05,0.03563,3e-05,0,3.64458,3.91549,3.04098,0.0102013,0.009868,0.009868
4,71.84,3.50893,4.60533,3.23017,0.00033,0.0347,0.00017,2e-05,3.64146,4.00689,3.07811,0.0098515,0.0098515,0.0098515
5,89.8047,3.54216,4.54502,3.21317,1e-05,0.0092,1e-05,0,3.74074,4.40869,3.07678,0.009802,0.009802,0.009802
6,108.315,3.49209,4.55381,3.18641,2e-05,0.01954,1e-05,0,3.68159,3.89984,3.12325,0.0097525,0.0097525,0.0097525
7,126.529,3.48593,4.53129,3.16471,3e-05,0.03103,2e-05,0,3.58233,4.39556,3.03707,0.009703,0.009703,0.009703
8,144.664,3.38841,4.51843,3.18512,9e-05,0.08046,0.00012,2e-05,3.45195,3.8133,2.92937,0.0096535,0.0096535,0.0096535
9,162.624,3.45052,4.49555,3.21588,0.0001,0.05235,0.00019,4e-05,3.53314,3.88788,3.03773,0.009604,0.009604,0.009604
10,180.867,3.46368,4.50457,3.18136,0.0033,0.08147,0.00459,0.00098,3.56195,4.00233,3.03328,0.0095545,0.0095545,0.0095545
11,199.221,3.46363,4.42659,3.14921,8e-05,0.07356,0.00018,3e-05,3.52871,3.9732,3.00461,0.009505,0.009505,0.009505
12,217.345,3.43805,4.42181,3.1565,0.00413,0.11112,0.00666,0.00162,3.5733,3.88403,3.08277,0.0094555,0.0094555,0.0094555
13,235.926,3.4005,4.26469,3.13305,0.87924,0.01913,0.02179,0.00493,3.49776,3.57441,3.08651,0.009406,0.009406,0.009406
14,254.152,3.3398,4.11713,3.13798,0.71347,0.03604,0.02579,0.00628,3.39605,3.49522,3.03285,0.0093565,0.0093565,0.0093565
15,272.711,3.26368,3.9139,3.11708,0.54047,0.07637,0.04199,0.01356,3.23598,3.42984,2.94039,0.009307,0.009307,0.009307
16,290.497,3.12597,3.72261,3.05044,0.53969,0.12896,0.0575,0.01438,3.12902,3.21371,2.90016,0.0092575,0.0092575,0.0092575
17,308.135,3.01686,3.61889,3.01873,0.39815,0.14356,0.05972,0.01928,3.04772,3.06939,2.8266,0.009208,0.009208,0.009208
18,325.606,2.91508,3.50322,2.95462,0.23587,0.18497,0.09421,0.03117,2.85694,2.95208,2.69811,0.0091585,0.0091585,0.0091585
19,343.309,2.84145,3.42748,2.85727,0.40738,0.1964,0.10599,0.03396,2.73946,3.03277,2.60634,0.009109,0.009109,0.009109
20,360.973,2.73685,3.31878,2.77997,0.35311,0.21825,0.13948,0.04571,2.58415,2.72763,2.49425,0.0090595,0.0090595,0.0090595
21,378.866,2.63995,3.20009,2.70622,0.41476,0.22683,0.15264,0.04583,2.60404,2.60055,2.47567,0.00901,0.00901,0.00901
22,396.417,2.61926,3.16185,2.68362,0.3221,0.20085,0.16147,0.05058,2.60197,2.60031,2.50968,0.0089605,0.0089605,0.0089605
23,413.867,2.54878,3.12843,2.64518,0.49184,0.2689,0.1876,0.05483,2.47502,2.64349,2.39009,0.008911,0.008911,0.008911
24,431.521,2.43081,3.05683,2.58202,0.52057,0.2709,0.22617,0.06949,2.43478,2.48294,2.37108,0.0088615,0.0088615,0.0088615
25,449.106,2.40391,2.97415,2.5254,0.38423,0.1974,0.17582,0.05501,2.46887,2.62634,2.38647,0.008812,0.008812,0.008812
26,466.72,2.34817,2.87255,2.4791,0.58815,0.23593,0.28399,0.09686,2.35014,2.35825,2.29951,0.0087625,0.0087625,0.0087625
27,483.801,2.31798,2.85254,2.45254,0.57051,0.22543,0.22189,0.07632,2.35635,2.48926,2.32127,0.008713,0.008713,0.008713
28,500.792,2.25186,2.80162,2.40804,0.3017,0.3659,0.26962,0.09656,2.31443,2.38582,2.30301,0.0086635,0.0086635,0.0086635
29,517.829,2.23158,2.70858,2.3881,0.43213,0.26733,0.27242,0.10172,2.27831,2.33721,2.2462,0.008614,0.008614,0.008614
30,535.034,2.1974,2.7359,2.36101,0.49303,0.35864,0.30805,0.11541,2.23542,2.34794,2.21758,0.0085645,0.0085645,0.0085645
31,552.051,2.14818,2.65027,2.30683,0.3264,0.3853,0.31702,0.11493,2.26446,2.19067,2.27046,0.008515,0.008515,0.008515
32,569.342,2.15089,2.63032,2.29843,0.34821,0.37651,0.28336,0.08536,2.24076,2.32994,2.22309,0.0084655,0.0084655,0.0084655
33,586.466,2.0907,2.54061,2.26134,0.32136,0.35264,0.33341,0.12378,2.22187,2.15367,2.23057,0.008416,0.008416,0.008416
34,603.599,2.07588,2.53283,2.24715,0.35498,0.4026,0.33776,0.11955,2.21588,2.25401,2.20295,0.0083665,0.0083665,0.0083665
35,620.715,2.06866,2.50278,2.22179,0.64863,0.29959,0.41418,0.14969,2.11237,2.11543,2.11138,0.008317,0.008317,0.008317
36,638.157,2.02489,2.41887,2.183,0.36367,0.50421,0.41365,0.15834,2.18386,2.05904,2.18747,0.0082675,0.0082675,0.0082675
37,655.249,2.03061,2.42391,2.18205,0.4391,0.42925,0.39176,0.13867,2.15806,2.06222,2.13539,0.008218,0.008218,0.008218
38,672.437,2.00916,2.37117,2.1643,0.38799,0.44999,0.37829,0.1436,2.15278,2.05059,2.15866,0.0081685,0.0081685,0.0081685
39,689.502,2.01708,2.35077,2.17912,0.43223,0.3613,0.4011,0.14658,2.16928,1.99746,2.15685,0.008119,0.008119,0.008119
