epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0621,3.77692,6.33896,3.7582,0.00036,0.06194,0.00021,4e-05,3.7019,4.29643,4.47583,0.0703,0.0033,0.0033
2,34.6361,3.51174,4.66642,3.36559,0.0001,0.0954,0.00011,2e-05,3.48499,3.95691,3.01363,0.0402672,0.0066005,0.0066005
3,51.0113,3.48123,4.66455,3.27852,0.00014,0.03602,9e-05,2e-05,3.51858,4.15529,3.12259,0.0102013,0.009868,0.009868
4,67.642,3.38431,4.64079,3.24523,8e-05,0.07701,9e-05,1e-05,3.493,4.03073,3.01971,0.0098515,0.0098515,0.0098515
5,84.3978,3.35823,4.57495,3.22611,0.0002,0.05767,0.00017,5e-05,3.54536,4.11764,3.22476,0.009802,0.009802,0.009802
6,101.102,3.2856,4.59649,3.19052,0.00134,0.05434,0.0007,0.00014,3.2491,4.19057,3.00206,0.0097525,0.0097525,0.0097525
7,117.76,3.22489,4.59722,3.15659,9e-05,0.08736,0.00012,1e-05,3.25681,4.27885,2.97564,0.009703,0.009703,0.009703
8,134.117,3.09383,4.57849,3.13452,0.00036,0.09739,0.00025,4e-05,3.20467,3.93435,3.03255,0.0096535,0.0096535,0.0096535
9,151.025,3.12136,4.5795,3.1229,0.00033,0.10269,0.0003,5e-05,3.16224,3.9921,2.95202,0.009604,0.009604,0.009604
10,167.897,3.07887,4.60171,3.08485,0.00037,0.10207,0.00031,5e-05,3.07157,4.12348,2.94285,0.0095545,0.0095545,0.0095545
11,184.582,3.06218,4.48383,3.0368,0.01155,0.19903,0.00894,0.00216,3.12326,3.98237,2.98935,0.009505,0.009505,0.009505
12,201.151,3.00785,4.36624,2.98878,0.00184,0.36682,0.00518,0.00134,3.08931,3.90226,2.92681,0.0094555,0.0094555,0.0094555
13,217.558,2.98788,4.19654,2.9587,0.00303,0.42931,0.01748,0.00436,3.06123,3.90944,2.91256,0.009406,0.009406,0.009406
14,234.07,2.94714,4.09313,2.94263,0.54308,0.0427,0.02394,0.00616,3.03648,3.66871,2.89231,0.0093565,0.0093565,0.0093565
15,250.395,2.91636,4.01616,2.92429,0.69019,0.06046,0.04425,0.01074,2.94858,3.49722,2.80477,0.009307,0.009307,0.009307
16,266.682,2.88281,3.98486,2.92028,0.37804,0.09066,0.02537,0.0062,2.99106,3.82507,2.89089,0.0092575,0.0092575,0.0092575
17,282.902,2.8295,3.87553,2.89082,0.34901,0.08177,0.01225,0.00372,2.9895,6.42761,2.96786,0.009208,0.009208,0.009208
18,299.392,2.80228,3.82296,2.89038,0.5627,0.10455,0.05419,0.01651,2.83165,3.35042,2.70413,0.0091585,0.0091585,0.0091585
19,315.63,2.75953,3.77629,2.83377,0.573,0.07765,0.05939,0.01735,2.91056,3.26642,2.74809,0.009109,0.009109,0.009109
