epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,31.5842,4.03316,5.57835,4.21864,5e-05,0.01258,3e-05,1e-05,4.22525,5.03162,4.17044,0.00099,0.00033,0.00099,0.00033,0.00099,0.00033,0.00099,0.00033
2,47.9098,4.01222,5.50678,4.20664,7e-05,0.01611,4e-05,1e-05,4.21839,5.16176,4.16106,0.0019703,0.000656766,0.0019703,0.000656766,0.0019703,0.000656766,0.0019703,0.000656766
3,63.902,4.01774,5.4703,4.19884,0.00034,0.00137,5e-05,1e-05,4.01262,6.94507,5.22246,0.0029308,0.000976933,0.0029308,0.000976933,0.0029308,0.000976933,0.0029308,0.000976933
4,80.8162,3.98059,5.45922,4.16562,0.00026,0.0049,5e-05,2e-05,4.01558,8.27769,5.22149,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,96.4317,3.97494,5.35725,4.14072,7e-05,0.01373,4e-05,1e-05,3.99318,4.6003,4.1403,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,111.923,3.9302,5.34715,4.11708,7e-05,0.01488,5e-05,2e-05,3.97517,4.26527,4.06114,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,125.557,3.93333,5.33034,4.0889,7e-05,0.01373,5e-05,2e-05,4.023,4.08206,4.00033,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,139.416,3.76627,5.31264,4.0535,7e-05,0.01488,4e-05,2e-05,3.99427,3.91306,3.95497,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,153.269,3.73309,5.22452,4.01401,0.00012,0.03004,9e-05,2e-05,3.89314,3.93852,3.89124,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,175.156,3.65706,5.23016,3.96452,0.00014,0.03775,0.00021,4e-05,3.89985,3.90969,3.86678,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
