epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,17.7387,4.05637,5.58533,4.23243,6e-05,0.01496,4e-05,1e-05,4.22979,5.4319,4.16391,0.00099,0.00033,0.00099,0.00033,0.00099,0.00033,0.00099,0.00033
2,32.7294,4.0308,5.50108,4.21892,6e-05,0.01496,4e-05,1e-05,4.22281,5.27012,4.15687,0.0019703,0.000656766,0.0019703,0.000656766,0.0019703,0.000656766,0.0019703,0.000656766
3,47.0976,4.03757,5.44754,4.20189,7e-05,0.01611,4e-05,1e-05,4.20706,5.14716,4.16729,0.0029308,0.000976933,0.0029308,0.000976933,0.0029308,0.000976933,0.0029308,0.000976933
4,61.1386,4.00359,5.40986,4.16771,8e-05,0.01841,0.00015,3e-05,4.17328,4.79699,4.18575,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,75.1258,4.00343,5.28664,4.13276,7e-05,0.01611,5e-05,1e-05,4.17982,4.59604,4.11437,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,89.0978,3.94648,5.28026,4.09054,7e-05,0.01611,5e-05,2e-05,4.17518,4.26839,4.09176,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,103.116,3.92551,5.2655,4.03119,7e-05,0.01611,8e-05,2e-05,4.15635,4.11295,4.04351,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,117.197,3.76218,5.22717,3.95685,7e-05,0.01611,5e-05,2e-05,4.11707,3.94085,3.98469,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,131.072,3.71644,5.15778,3.91409,8e-05,0.01747,5e-05,2e-05,4.04946,3.90925,3.8805,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,145.038,3.6339,5.16105,3.85876,8e-05,0.01611,6e-05,2e-05,3.97706,3.9866,3.8397,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,159.161,3.61316,5.12187,3.77251,0.00013,0.02754,9e-05,2e-05,3.91429,3.90409,3.79458,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,173.124,3.48788,5.0492,3.72117,0.00021,0.0555,0.00026,5e-05,3.78029,3.89322,3.80186,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,187.125,3.41048,5.0315,3.6752,0.00027,0.07919,0.00046,9e-05,3.64157,3.85122,3.66552,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,201.14,3.3691,4.98362,3.61313,0.00038,0.11595,0.0008,0.00014,3.59412,3.84538,3.65604,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,215.226,3.29536,4.95625,3.56277,0.0005,0.14594,0.00103,0.00019,3.48711,3.85085,3.6527,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
