epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,16.5315,4.05637,5.58533,4.23243,6e-05,0.01496,4e-05,1e-05,4.22979,5.4319,4.16391,0.00099,0.00033,0.00099,0.00033,0.00099,0.00033,0.00099,0.00033
2,30.7991,4.03397,5.50421,4.21708,6e-05,0.01496,4e-05,1e-05,4.22265,5.26404,4.15646,0.00198015,0.00066005,0.00198015,0.00066005,0.00198015,0.00066005,0.00198015,0.00066005
3,44.7739,4.04103,5.45295,4.20005,7e-05,0.01611,4e-05,1e-05,4.21406,5.14834,4.15625,0.0029604,0.0009868,0.0029604,0.0009868,0.0029604,0.0009868,0.0029604,0.0009868
4,58.8963,3.99386,5.41258,4.15837,7e-05,0.01611,5e-05,2e-05,4.20297,4.84338,4.12573,0.00295545,0.00098515,0.00295545,0.00098515,0.00295545,0.00098515,0.00295545,0.00098515
5,73.2706,3.97952,5.28422,4.12203,7e-05,0.01611,4e-05,2e-05,4.16523,4.52726,4.08112,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802
6,87.8746,3.90662,5.26362,4.06479,7e-05,0.01726,5e-05,2e-05,4.1122,4.22235,4.02824,0.00292575,0.00097525,0.00292575,0.00097525,0.00292575,0.00097525,0.00292575,0.00097525
7,101.953,3.8656,5.24115,3.996,0.00011,0.0253,0.0001,3e-05,4.00206,4.03875,3.90021,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
8,115.89,3.70086,5.19396,3.92262,0.00011,0.02071,8e-05,2e-05,3.99806,3.94704,3.89613,0.00289605,0.00096535,0.00289605,0.00096535,0.00289605,0.00096535,0.00289605,0.00096535
9,129.512,3.64533,5.09397,3.85083,0.00013,0.0299,0.00017,3e-05,3.86841,3.91727,3.74955,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
10,143.645,3.54541,5.07967,3.77826,0.00015,0.0369,0.00013,3e-05,3.80063,3.85325,3.70255,0.00286635,0.00095545,0.00286635,0.00095545,0.00286635,0.00095545,0.00286635,0.00095545
11,157.421,3.55025,5.01858,3.69424,0.00016,0.03836,0.00012,3e-05,3.76514,3.89896,3.67999,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
12,170.99,3.47368,4.95017,3.65359,0.00023,0.06509,0.00024,7e-05,3.64435,3.88614,3.54187,0.00283665,0.00094555,0.00283665,0.00094555,0.00283665,0.00094555,0.00283665,0.00094555
13,184.649,3.36354,4.92288,3.59866,0.00038,0.09858,0.00031,7e-05,3.55996,3.82245,3.51003,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
14,198.304,3.33097,4.88838,3.54975,0.0004,0.11844,0.00043,0.0001,3.539,3.82585,3.5003,0.00280695,0.00093565,0.00280695,0.00093565,0.00280695,0.00093565,0.00280695,0.00093565
15,211.9,3.26926,4.82916,3.4909,0.00085,0.1262,0.00683,0.00407,3.4963,3.96342,3.43482,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
16,225.448,3.15293,4.76008,3.4169,0.00143,0.21276,0.0149,0.00532,3.3734,3.81813,3.3457,0.00277725,0.00092575,0.00277725,0.00092575,0.00277725,0.00092575,0.00277725,0.00092575
17,239.081,3.11456,4.69436,3.37301,0.00159,0.28614,0.00756,0.00264,3.28343,3.67927,3.27782,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
18,252.673,3.08363,4.61909,3.35248,0.4478,0.05379,0.03851,0.01658,3.21184,3.56868,3.24476,0.00274755,0.00091585,0.00274755,0.00091585,0.00274755,0.00091585,0.00274755,0.00091585
19,266.125,3.03175,4.53987,3.2718,0.4544,0.11485,0.06808,0.02783,3.17666,3.55076,3.22345,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
20,279.613,2.98209,4.45737,3.2461,0.47407,0.10768,0.07226,0.02929,3.18148,3.49956,3.16758,0.00271785,0.00090595,0.00271785,0.00090595,0.00271785,0.00090595,0.00271785,0.00090595
21,293.041,2.89491,4.3325,3.14028,0.49899,0.13603,0.07948,0.03233,3.09402,3.37167,3.07752,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
22,306.56,2.86874,4.24496,3.11525,0.48796,0.14928,0.10703,0.03907,3.07984,3.30635,3.06573,0.00268815,0.00089605,0.00268815,0.00089605,0.00268815,0.00089605,0.00268815,0.00089605
23,320.179,2.78913,4.12666,3.08102,0.27402,0.17182,0.11612,0.0421,2.90995,3.34173,2.95446,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
24,333.779,2.73276,4.04293,3.04064,0.29529,0.20063,0.12535,0.04443,2.83308,3.30585,2.92537,0.00265845,0.00088615,0.00265845,0.00088615,0.00265845,0.00088615,0.00265845,0.00088615
25,348.277,2.7229,4.00463,2.97585,0.49588,0.14572,0.13338,0.04854,2.81491,3.18176,2.89828,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
26,362.762,2.65697,3.91552,2.93842,0.33476,0.19561,0.14035,0.0525,2.74653,3.15454,2.83304,0.00262875,0.00087625,0.00262875,0.00087625,0.00262875,0.00087625,0.00262875,0.00087625
27,377.414,2.61145,3.85228,2.93021,0.49832,0.19041,0.16545,0.05663,2.6148,3.10743,2.76936,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
28,392.103,2.55851,3.81736,2.88672,0.39863,0.14428,0.14615,0.05324,2.59079,3.03136,2.75114,0.00259905,0.00086635,0.00259905,0.00086635,0.00259905,0.00086635,0.00259905,0.00086635
29,406.674,2.47439,3.71713,2.84091,0.43969,0.17295,0.1609,0.0591,2.56677,2.99244,2.68147,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
30,420.697,2.49351,3.72019,2.82586,0.46754,0.22864,0.20034,0.0742,2.51622,2.92615,2.62641,0.00256935,0.00085645,0.00256935,0.00085645,0.00256935,0.00085645,0.00256935,0.00085645
31,434.198,2.43848,3.62268,2.78746,0.21251,0.27841,0.16772,0.05944,2.41277,2.9697,2.63114,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
32,447.625,2.4182,3.54856,2.74911,0.37543,0.24574,0.21662,0.08438,2.39279,2.75157,2.60329,0.00253965,0.00084655,0.00253965,0.00084655,0.00253965,0.00084655,0.00253965,0.00084655
33,461.22,2.34875,3.44296,2.70623,0.294,0.25146,0.20757,0.08182,2.38475,2.76616,2.60615,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
34,474.837,2.31992,3.38868,2.67321,0.37731,0.27723,0.23617,0.09358,2.36679,2.71826,2.56383,0.00250995,0.00083665,0.00250995,0.00083665,0.00250995,0.00083665,0.00250995,0.00083665
35,488.347,2.29602,3.34185,2.65946,0.33048,0.2772,0.2443,0.10391,2.2918,2.55689,2.51934,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
36,501.908,2.24497,3.27536,2.61962,0.31497,0.27379,0.25117,0.10128,2.29053,2.63818,2.49566,0.00248025,0.00082675,0.00248025,0.00082675,0.00248025,0.00082675,0.00248025,0.00082675
37,515.458,2.26197,3.24344,2.61572,0.33973,0.30673,0.2742,0.11532,2.23208,2.49586,2.47527,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
38,529.058,2.21255,3.21205,2.56671,0.4216,0.34985,0.28471,0.11576,2.2113,2.55501,2.45675,0.00245055,0.00081685,0.00245055,0.00081685,0.00245055,0.00081685,0.00245055,0.00081685
39,542.808,2.18594,3.17014,2.5496,0.35432,0.33583,0.30754,0.13092,2.22047,2.49281,2.47201,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
40,556.366,2.16127,3.07928,2.52134,0.32741,0.34256,0.28585,0.12406,2.23474,2.47115,2.48441,0.00242085,0.00080695,0.00242085,0.00080695,0.00242085,0.00080695,0.00242085,0.00080695
41,570.013,2.15407,3.09133,2.5209,0.38475,0.32774,0.33366,0.14518,2.13313,2.3262,2.42027,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
42,583.592,2.12326,3.08209,2.49311,0.33932,0.41376,0.34084,0.13982,2.14676,2.30754,2.42395,0.00239115,0.00079705,0.00239115,0.00079705,0.00239115,0.00079705,0.00239115,0.00079705
43,597.384,2.12337,2.98246,2.46692,0.44906,0.34456,0.31252,0.13687,2.14869,2.46372,2.42857,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
