epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5668,3.98807,6.96648,3.7948,0.00044,0.14509,0.00039,8e-05,3.79521,4.1964,3.39405,0.0703,0.0033,0.0033
2,23.8495,3.64699,4.69867,3.39713,0.00129,0.17154,0.00165,0.00037,3.62359,4.08783,3.32192,0.0402672,0.0066005,0.0066005
3,35.0822,3.62563,4.67965,3.31444,0.00028,0.14593,0.00028,5e-05,3.62247,4.22708,3.24627,0.0102013,0.009868,0.009868
4,46.3696,3.58356,4.63784,3.28473,0.00041,0.15494,0.0004,8e-05,3.5742,4.18058,3.26454,0.0098515,0.0098515,0.0098515
5,57.8626,3.6261,4.57425,3.2717,4e-05,0.03908,5e-05,1e-05,3.6089,3.90629,3.24378,0.009802,0.009802,0.009802
6,69.2579,3.56655,4.5852,3.2557,0.00048,0.1061,0.00034,6e-05,3.56192,3.92564,3.26638,0.0097525,0.0097525,0.0097525
7,80.4262,3.5645,4.57701,3.23003,0.00036,0.15982,0.00038,7e-05,3.55366,3.97644,3.24354,0.009703,0.009703,0.009703
8,91.7066,3.48914,4.60226,3.2846,0.00037,0.16566,0.0005,9e-05,3.53829,4.04989,3.29553,0.0096535,0.0096535,0.0096535
9,102.846,3.52752,4.58843,3.27089,0.0004,0.15992,0.00044,9e-05,3.58712,3.89871,3.28081,0.009604,0.009604,0.009604
10,114.019,3.53955,4.61203,3.25202,0.00065,0.17114,0.00052,0.00012,3.57279,3.97971,3.39032,0.0095545,0.0095545,0.0095545
11,125.442,3.54295,4.56491,3.22537,0.00038,0.16494,0.00047,9e-05,3.51043,3.96494,3.16257,0.009505,0.009505,0.009505
12,136.478,3.49383,4.57333,3.19929,0.00027,0.15637,0.00042,7e-05,3.57209,4.00596,3.21419,0.0094555,0.0094555,0.0094555
13,148.049,3.43339,4.54185,3.17032,0.00042,0.18258,0.00045,0.00011,3.44125,4.10558,3.2013,0.009406,0.009406,0.009406
14,161.362,3.42897,4.53272,3.14817,0.00034,0.18435,0.00048,0.00012,3.38824,4.00833,3.15314,0.0093565,0.0093565,0.0093565
15,174.464,3.38499,4.50667,3.09062,0.00094,0.19861,0.00078,0.00026,3.50895,3.88621,3.14451,0.009307,0.009307,0.009307
16,187.218,3.34156,4.4629,3.04576,0.00073,0.12276,0.00275,0.00085,3.84532,3.98694,3.3156,0.0092575,0.0092575,0.0092575
