epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5961,3.99232,8.35846,3.90315,0.00891,0.04032,0.00539,0.00177,4.1335,4.35378,3.66728,0.0703,0.0033,0.0033
2,25.896,3.67951,4.77352,3.49012,3e-05,0.02069,8e-05,1e-05,3.80545,4.21701,3.23031,0.0402343,0.00656766,0.00656766
3,38.0202,3.57229,4.64208,3.29289,3e-05,0.02644,2e-05,0,3.65184,3.9982,3.09099,0.0101027,0.00976933,0.00976933
4,50.0193,3.49719,4.58957,3.23961,5e-05,0.04598,4e-05,1e-05,3.60035,3.96307,3.0872,0.009703,0.009703,0.009703
5,61.9709,3.46139,4.53835,3.21884,0.0001,0.03425,6e-05,1e-05,3.61167,4.13067,3.12046,0.009604,0.009604,0.009604
6,73.7909,3.32051,4.55513,3.15718,0.00019,0.07871,0.00014,3e-05,3.38975,3.98452,3.06121,0.009505,0.009505,0.009505
7,85.8126,3.20185,4.56213,3.07543,0.00042,0.10489,0.00043,9e-05,3.2346,4.04536,2.88119,0.009406,0.009406,0.009406
8,97.8917,3.10737,4.53751,3.08648,0.00098,0.17517,0.00948,0.00212,3.15122,3.91657,2.86476,0.009307,0.009307,0.009307
9,109.677,3.10836,4.48154,3.0666,0.00153,0.213,0.01178,0.00248,3.18707,3.84791,2.9313,0.009208,0.009208,0.009208
10,121.462,3.0947,4.4189,3.06222,0.00085,0.25694,0.01172,0.00219,3.12908,3.85809,2.87349,0.009109,0.009109,0.009109
11,133.268,3.03054,4.31614,2.96284,0.51464,0.15539,0.03315,0.00712,2.9666,3.62288,2.76043,0.00901,0.00901,0.00901
12,145.138,3.0038,4.22138,2.94605,0.60609,0.04796,0.0288,0.00721,3.0876,3.85701,2.86803,0.008911,0.008911,0.008911
13,156.905,2.97644,4.094,2.89666,0.70409,0.08066,0.0383,0.01109,2.98745,3.58152,2.74292,0.008812,0.008812,0.008812
14,168.637,2.92988,3.92622,2.88083,0.58002,0.09503,0.0477,0.01437,2.98282,3.4645,2.69323,0.008713,0.008713,0.008713
15,180.362,2.91365,3.81842,2.84848,0.57214,0.08594,0.06727,0.0187,2.95113,3.42731,2.66588,0.008614,0.008614,0.008614
16,192.006,2.85041,3.67929,2.79905,0.58021,0.10182,0.05793,0.01703,2.95851,3.25799,2.65242,0.008515,0.008515,0.008515
17,203.769,2.77697,3.60929,2.78104,0.42149,0.12686,0.08726,0.02732,2.84295,3.14048,2.59609,0.008416,0.008416,0.008416
18,215.434,2.73719,3.50388,2.75196,0.49083,0.14923,0.09552,0.02892,2.79892,3.03343,2.60226,0.008317,0.008317,0.008317
