epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2707,3.97759,5.33674,3.81202,0,0.0023,0,0,3.86027,4.19913,3.3202,0.0703,0.0033,0.0033
2,34.5972,3.58348,4.93352,3.41859,3e-05,0.02759,3e-05,0,3.63209,3.95704,3.1179,0.0402343,0.00656766,0.00656766
3,50.775,3.56656,4.63197,3.25439,3e-05,0.02989,2e-05,0,3.6759,3.91757,3.07258,0.0101027,0.00976933,0.00976933
4,66.6128,3.52061,4.59866,3.23377,4e-05,0.03448,2e-05,0,3.65265,4.50486,3.09096,0.009703,0.009703,0.009703
5,82.7225,3.55698,4.55279,3.22717,1e-05,0.01379,1e-05,0,3.70953,3.8284,3.05777,0.009604,0.009604,0.009604
6,98.4672,3.52065,4.56717,3.20012,0.00036,0.02544,0.00019,3e-05,3.70869,3.89674,3.08247,0.009505,0.009505,0.009505
7,114.22,3.51787,4.56076,3.19649,5e-05,0.04483,3e-05,0,3.60298,3.9105,3.03301,0.009406,0.009406,0.009406
8,129.768,3.43837,4.55705,3.26155,7e-05,0.07011,6e-05,1e-05,3.53612,3.798,2.97059,0.009307,0.009307,0.009307
9,145.727,3.51087,4.56171,3.29215,7e-05,0.03353,5e-05,1e-05,3.61796,3.85248,3.06658,0.009208,0.009208,0.009208
10,161.481,3.50097,4.55053,3.2879,9e-05,0.05695,6e-05,1e-05,3.59607,4.04298,3.0805,0.009109,0.009109,0.009109
11,177.296,3.46889,4.4977,3.24082,5e-05,0.04253,5e-05,1e-05,3.53709,3.95513,3.05194,0.00901,0.00901,0.00901
12,193.087,3.35025,4.4986,3.23107,0.00012,0.05997,8e-05,2e-05,3.39732,3.99609,3.04921,0.008911,0.008911,0.008911
13,208.741,3.30436,4.49152,3.17094,0.00019,0.06614,0.00013,2e-05,3.3657,3.98419,3.03202,0.008812,0.008812,0.008812
14,224.365,3.26795,4.44867,3.17009,0.0017,0.06688,0.00097,0.00027,3.33261,4.00062,2.9764,0.008713,0.008713,0.008713
15,240.087,3.25962,4.37261,3.13507,0.04522,0.1805,0.02925,0.0108,3.31763,3.80831,2.93894,0.008614,0.008614,0.008614
16,255.844,3.19792,4.21282,3.08919,0.8395,0.06421,0.0168,0.0046,3.26143,3.57511,2.8903,0.008515,0.008515,0.008515
17,271.037,3.11952,4.07964,3.05502,0.0105,0.57352,0.02553,0.00701,3.27421,3.49528,2.9051,0.008416,0.008416,0.008416
18,286.1,3.08187,3.89427,3.03325,0.19815,0.07646,0.02854,0.00943,3.2099,3.55535,2.87404,0.008317,0.008317,0.008317
19,301.136,3.04294,3.82756,2.98739,0.53441,0.06993,0.03909,0.01067,3.15557,3.41309,2.8432,0.008218,0.008218,0.008218
20,316.231,2.97787,3.75198,2.94984,0.49057,0.08399,0.05593,0.01567,3.09794,3.15149,2.80184,0.008119,0.008119,0.008119
21,331.223,2.91293,3.6617,2.88574,0.40527,0.11906,0.07009,0.02057,3.0394,3.01437,2.72709,0.00802,0.00802,0.00802
22,346.118,2.90834,3.65278,2.87421,0.41785,0.11025,0.06489,0.01864,3.00013,3.16118,2.73731,0.007921,0.007921,0.007921
23,361.028,2.82124,3.57631,2.8333,0.24624,0.11923,0.06631,0.02033,2.92561,3.00102,2.71029,0.007822,0.007822,0.007822
24,375.92,2.77106,3.54939,2.83439,0.48538,0.13814,0.08638,0.0229,2.971,3.04936,2.75246,0.007723,0.007723,0.007723
25,391.018,2.77472,3.47881,2.76899,0.30772,0.1405,0.07534,0.02579,2.88918,2.98123,2.74819,0.007624,0.007624,0.007624
26,406.033,2.71332,3.41826,2.77703,0.48782,0.15775,0.09756,0.03045,2.8268,2.93201,2.67771,0.007525,0.007525,0.007525
27,421.047,2.67066,3.41419,2.76032,0.31097,0.16622,0.11358,0.0328,2.74213,2.92809,2.62982,0.007426,0.007426,0.007426
28,435.935,2.6276,3.36304,2.72345,0.45043,0.12816,0.1122,0.03664,2.72267,2.85073,2.61829,0.007327,0.007327,0.007327
29,450.883,2.58271,3.26001,2.72233,0.34702,0.19238,0.13619,0.04622,2.64658,2.72909,2.55112,0.007228,0.007228,0.007228
30,465.96,2.56649,3.30463,2.69837,0.47705,0.18438,0.13273,0.04776,2.58633,2.70812,2.49887,0.007129,0.007129,0.007129
31,480.946,2.49532,3.21851,2.65057,0.5259,0.18499,0.12796,0.04356,2.59514,2.71853,2.49263,0.00703,0.00703,0.00703
32,495.971,2.48532,3.21089,2.63088,0.56465,0.18944,0.16777,0.05781,2.50153,2.59015,2.43453,0.006931,0.006931,0.006931
33,511.043,2.47287,3.08381,2.64608,0.56985,0.16894,0.17751,0.06629,2.48061,2.59236,2.42352,0.006832,0.006832,0.006832
34,526.229,2.42216,3.04932,2.59981,0.56235,0.1637,0.15939,0.05675,2.50396,2.63923,2.43575,0.006733,0.006733,0.006733
35,541.149,2.39731,3.04242,2.57268,0.32901,0.251,0.16268,0.05776,2.41605,2.5776,2.37505,0.006634,0.006634,0.006634
36,556.011,2.33535,2.94453,2.55128,0.23643,0.2811,0.20997,0.07973,2.41098,2.44985,2.36303,0.006535,0.006535,0.006535
37,571.152,2.33369,2.93375,2.54433,0.41073,0.25902,0.20605,0.07407,2.37899,2.44582,2.32696,0.006436,0.006436,0.006436
38,586.078,2.30814,2.91432,2.51577,0.2313,0.26002,0.22669,0.08421,2.3603,2.44436,2.32089,0.006337,0.006337,0.006337
39,600.867,2.29204,2.87715,2.53389,0.26308,0.308,0.23387,0.08252,2.34108,2.37494,2.32325,0.006238,0.006238,0.006238
40,615.697,2.29617,2.80866,2.51229,0.41896,0.34942,0.25559,0.08704,2.32496,2.34381,2.32443,0.006139,0.006139,0.006139
41,630.699,2.25266,2.77477,2.47134,0.37624,0.38169,0.27135,0.09884,2.29398,2.2987,2.29239,0.00604,0.00604,0.00604
42,645.662,2.25422,2.79023,2.47569,0.32188,0.29532,0.24847,0.09369,2.2995,2.36166,2.29,0.005941,0.005941,0.005941
43,660.412,2.18351,2.7094,2.43807,0.23934,0.28969,0.25303,0.09252,2.30424,2.28733,2.29379,0.005842,0.005842,0.005842
44,675.305,2.1786,2.6803,2.44702,0.4516,0.33089,0.31281,0.11778,2.28289,2.27594,2.24867,0.005743,0.005743,0.005743
45,690.217,2.19257,2.69171,2.42838,0.37645,0.37787,0.31663,0.11931,2.27365,2.23845,2.27549,0.005644,0.005644,0.005644
46,705.146,2.1989,2.65154,2.41902,0.47977,0.3424,0.29926,0.11572,2.2373,2.23847,2.24788,0.005545,0.005545,0.005545
47,719.962,2.15438,2.61291,2.39533,0.47119,0.3642,0.31915,0.12355,2.24966,2.20607,2.26183,0.005446,0.005446,0.005446
48,735.032,2.14118,2.62539,2.38556,0.44962,0.41546,0.33693,0.12315,2.28721,2.1883,2.27553,0.005347,0.005347,0.005347
49,749.901,2.12538,2.5502,2.37565,0.40651,0.36735,0.3311,0.12804,2.2643,2.1791,2.26354,0.005248,0.005248,0.005248
50,764.838,2.10348,2.55019,2.37893,0.34888,0.40464,0.34409,0.13,2.24758,2.21112,2.23954,0.005149,0.005149,0.005149
51,779.736,2.09615,2.50717,2.34715,0.43351,0.38423,0.36009,0.14016,2.20375,2.094,2.21286,0.00505,0.00505,0.00505
52,794.887,2.062,2.49145,2.31555,0.3607,0.3834,0.34269,0.13425,2.20779,2.14708,2.21998,0.004951,0.004951,0.004951
53,809.937,2.07331,2.49596,2.31626,0.40545,0.37721,0.34742,0.13418,2.20955,2.08046,2.2076,0.004852,0.004852,0.004852
54,824.707,2.05565,2.42096,2.2976,0.375,0.43948,0.36225,0.14,2.1952,2.09717,2.20335,0.004753,0.004753,0.004753
55,839.799,2.06571,2.4869,2.30371,0.47341,0.42621,0.37329,0.14458,2.16801,2.12345,2.19228,0.004654,0.004654,0.004654
56,854.627,2.0464,2.43258,2.29835,0.37341,0.46271,0.39228,0.14395,2.18277,2.00686,2.18841,0.004555,0.004555,0.004555
57,869.687,2.00292,2.36663,2.25386,0.43682,0.41639,0.38656,0.1427,2.19797,2.11756,2.26916,0.004456,0.004456,0.004456
58,884.477,2.00162,2.36282,2.26196,0.45691,0.36316,0.40922,0.15867,2.19506,1.99191,2.1974,0.004357,0.004357,0.004357
59,899.276,2.01194,2.3329,2.26371,0.4331,0.41598,0.42418,0.16283,2.16991,2.05119,2.15504,0.004258,0.004258,0.004258
60,914.124,2.01309,2.32261,2.24738,0.42109,0.46266,0.43961,0.1687,2.1347,1.95218,2.15033,0.004159,0.004159,0.004159
61,929.046,1.97264,2.3122,2.24617,0.40105,0.4493,0.39198,0.1478,2.21483,2.00633,2.21839,0.00406,0.00406,0.00406
62,944.092,1.97562,2.30017,2.2445,0.49523,0.40081,0.45054,0.17577,2.14003,1.93636,2.1351,0.003961,0.003961,0.003961
63,958.851,1.93782,2.28243,2.19665,0.49461,0.44002,0.47649,0.18762,2.1479,1.89235,2.14877,0.003862,0.003862,0.003862
64,973.611,1.93431,2.24316,2.19861,0.44178,0.49881,0.49145,0.19138,2.11595,1.89096,2.14472,0.003763,0.003763,0.003763
65,988.525,1.95164,2.24448,2.18981,0.50628,0.45755,0.48223,0.19269,2.09715,1.89597,2.11877,0.003664,0.003664,0.003664
66,1003.55,1.95279,2.26713,2.22467,0.53856,0.47077,0.50719,0.20279,2.08405,1.8924,2.105,0.003565,0.003565,0.003565
67,1018.54,1.92158,2.19992,2.15821,0.52073,0.47437,0.49161,0.19775,2.10735,1.87744,2.12561,0.003466,0.003466,0.003466
68,1033.41,1.94622,2.22018,2.19925,0.51192,0.49652,0.51207,0.21208,2.07939,1.87174,2.12081,0.003367,0.003367,0.003367
69,1048.23,1.89694,2.19367,2.17998,0.53473,0.50537,0.52191,0.21246,2.05925,1.86023,2.09091,0.003268,0.003268,0.003268
70,1063.34,1.90863,2.15729,2.16325,0.55641,0.45188,0.51178,0.19891,2.08276,1.87986,2.09639,0.003169,0.003169,0.003169
71,1078.2,1.8922,2.14985,2.15117,0.56533,0.52681,0.53471,0.21429,2.13431,1.83094,2.12654,0.00307,0.00307,0.00307
72,1093.29,1.90175,2.13113,2.15486,0.52632,0.55,0.55451,0.22084,2.07411,1.83526,2.0846,0.002971,0.002971,0.002971
73,1108.29,1.88295,2.11098,2.15582,0.56347,0.50507,0.58128,0.24124,2.09889,1.7924,2.11401,0.002872,0.002872,0.002872
74,1123.26,1.87259,2.06912,2.14355,0.64009,0.49982,0.57046,0.23111,2.07593,1.77056,2.11557,0.002773,0.002773,0.002773
75,1138,1.86493,2.12654,2.14672,0.64161,0.5455,0.58147,0.2381,2.04661,1.79663,2.07347,0.002674,0.002674,0.002674
76,1152.79,1.85037,2.06456,2.10589,0.60663,0.52497,0.57644,0.24661,2.06187,1.82388,2.09096,0.002575,0.002575,0.002575
77,1167.89,1.86307,2.07885,2.12116,0.58637,0.57837,0.60867,0.2542,2.0373,1.739,2.05888,0.002476,0.002476,0.002476
78,1183.67,1.83344,2.05068,2.08852,0.56541,0.54923,0.58163,0.24434,2.04729,1.72449,2.03874,0.002377,0.002377,0.002377
79,1199.29,1.85616,2.02302,2.10246,0.55983,0.54646,0.57058,0.2398,2.06613,1.75796,2.08464,0.002278,0.002278,0.002278
80,1215.25,1.82561,2.01771,2.08383,0.60648,0.56332,0.58036,0.24879,2.01433,1.72357,2.04494,0.002179,0.002179,0.002179
81,1231.05,1.83191,2.02907,2.09164,0.61048,0.52322,0.57815,0.24309,2.04479,1.75208,2.04939,0.00208,0.00208,0.00208
82,1246.87,1.84373,2.00034,2.08402,0.59289,0.56507,0.60074,0.25359,2.07205,1.7424,2.08188,0.001981,0.001981,0.001981
83,1262.69,1.81467,1.99387,2.0546,0.6444,0.57081,0.62171,0.26088,2.04788,1.71484,2.05879,0.001882,0.001882,0.001882
84,1278.39,1.81532,1.98496,2.08226,0.61239,0.59073,0.60741,0.26531,2.05622,1.68252,2.06172,0.001783,0.001783,0.001783
85,1294.15,1.81236,1.96004,2.04542,0.68321,0.55043,0.64032,0.27889,2.00174,1.68101,2.02233,0.001684,0.001684,0.001684
86,1310.15,1.80525,1.96021,2.0499,0.62643,0.56133,0.62273,0.26956,2.01888,1.68065,2.02483,0.001585,0.001585,0.001585
87,1325.99,1.78777,1.95666,2.04306,0.67914,0.55276,0.61698,0.2665,2.01137,1.69872,2.03205,0.001486,0.001486,0.001486
88,1341.86,1.79047,1.93651,2.03872,0.61657,0.59703,0.62403,0.27668,1.96852,1.7123,1.98958,0.001387,0.001387,0.001387
89,1357.54,1.78383,1.92234,2.03411,0.62106,0.63718,0.65397,0.27714,2.01319,1.66648,2.02209,0.001288,0.001288,0.001288
90,1373.13,1.75304,1.9054,2.00455,0.66979,0.61623,0.67503,0.29457,1.95333,1.60082,1.97217,0.001189,0.001189,0.001189
91,1400.63,1.89277,1.78501,1.95822,0.68328,0.60884,0.66606,0.28156,1.98625,1.63577,2.00318,0.00109,0.00109,0.00109
92,1416.39,1.87143,1.71964,1.92969,0.72379,0.60482,0.68314,0.29747,1.96195,1.62054,1.97724,0.000991,0.000991,0.000991
93,1432.13,1.85499,1.70328,1.93727,0.69937,0.61161,0.68349,0.29885,1.93856,1.55339,1.96158,0.000892,0.000892,0.000892
94,1447.68,1.87527,1.69512,1.91687,0.69473,0.61175,0.68725,0.30204,1.96826,1.52707,1.9677,0.000793,0.000793,0.000793
95,1463.31,1.83165,1.6167,1.89775,0.69178,0.61715,0.6919,0.30436,1.93599,1.49323,1.95879,0.000694,0.000694,0.000694
96,1478.27,1.81079,1.64031,1.87187,0.69984,0.6078,0.699,0.30886,1.92817,1.51662,1.94465,0.000595,0.000595,0.000595
97,1493.31,1.82263,1.60867,1.89164,0.69033,0.6513,0.72494,0.32144,1.90507,1.47529,1.92817,0.000496,0.000496,0.000496
98,1508.39,1.83046,1.62538,1.88442,0.67904,0.65928,0.71759,0.32294,1.90751,1.46043,1.93863,0.000397,0.000397,0.000397
99,1523.38,1.81396,1.61844,1.87183,0.69691,0.66302,0.71241,0.32128,1.91226,1.47272,1.93945,0.000298,0.000298,0.000298
100,1538.3,1.81623,1.59465,1.87184,0.6934,0.65302,0.71414,0.31956,1.91127,1.45491,1.9369,0.000199,0.000199,0.000199
