epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.988,3.77692,6.33896,3.7582,0.00036,0.06194,0.00021,4e-05,3.7019,4.29643,4.47583,0.0703,0.0033,0.0033
2,46.0846,3.5335,4.66491,3.3952,0.00015,0.04962,0.00011,2e-05,3.5779,4.15315,3.16736,0.0402343,0.00656766,0.00656766
3,62.7413,3.55416,4.65242,3.29715,5e-05,0.04368,3e-05,0,3.57765,4.06457,3.03392,0.0101027,0.00976933,0.00976933
4,79.98,3.44195,4.63416,3.24224,0.00029,0.04502,0.00017,5e-05,3.5387,4.12985,3.04463,0.009703,0.009703,0.009703
5,97.297,3.40427,4.58589,3.22377,0.00029,0.02166,0.00017,4e-05,3.65002,4.1362,3.16448,0.009604,0.009604,0.009604
6,114.414,3.29127,4.61465,3.1853,6e-05,0.02529,4e-05,1e-05,3.37327,4.15764,3.08155,0.009505,0.009505,0.009505
7,131.607,3.24743,4.60899,3.12533,0.00042,0.0887,0.00026,4e-05,3.19435,4.0941,2.90968,0.009406,0.009406,0.009406
8,148.579,3.09345,4.61222,3.09131,0.00022,0.09497,0.00016,3e-05,2.91756,4.10614,2.82408,0.009307,0.009307,0.009307
9,165.482,3.08791,4.58114,3.07526,0.00041,0.16577,0.00036,8e-05,2.98777,4.11018,2.85606,0.009208,0.009208,0.009208
10,181.961,3.04586,4.53126,3.03433,0.0009,0.21532,0.00218,0.00049,2.93078,4.05114,2.77107,0.009109,0.009109,0.009109
11,198.87,3.03315,4.40195,2.99844,0.85546,0.02305,0.01995,0.00624,2.88127,3.93415,2.76071,0.00901,0.00901,0.00901
12,215.605,2.99288,4.27616,2.96643,0.62629,0.04066,0.04246,0.01343,2.9716,3.705,2.80343,0.008911,0.008911,0.008911
13,232.328,2.96932,4.15805,2.91459,0.70633,0.04244,0.04915,0.02154,2.9033,3.58556,2.74068,0.008812,0.008812,0.008812
14,249.341,2.8887,4.0773,2.87225,0.62702,0.0477,0.04514,0.01507,2.78047,3.62543,2.59849,0.008713,0.008713,0.008713
15,266.36,2.87081,4.05055,2.84127,0.55913,0.08588,0.06043,0.02219,2.78979,3.43622,2.58683,0.008614,0.008614,0.008614
16,283.484,2.79545,3.93189,2.79745,0.5041,0.09144,0.05927,0.02127,2.6885,3.42284,2.51238,0.008515,0.008515,0.008515
