epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,17.6546,2.83398,5.1481,2.53889,0.00172,0.32875,0.00723,0.00248,2.82552,4.43298,2.54356,0.00099,0.00033,0.00099,0.00033,0.00099,0.00033,0.00099,0.00033
2,31.9953,2.45459,4.84414,2.24112,0.00231,0.54005,0.0537,0.02005,2.37665,4.0972,2.21057,0.0019703,0.000656766,0.0019703,0.000656766,0.0019703,0.000656766,0.0019703,0.000656766
3,45.8433,2.17585,4.39801,1.98538,0.28974,0.184,0.12546,0.05023,2.2211,3.85283,2.08027,0.0029308,0.000976933,0.0029308,0.000976933,0.0029308,0.000976933,0.0029308,0.000976933
4,59.4118,2.01859,3.97283,1.79551,0.55104,0.2313,0.20531,0.08356,1.99832,3.18934,1.91018,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,78.2358,1.93449,3.61523,1.69317,0.31972,0.3844,0.27327,0.11525,1.93855,2.93241,1.8536,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,100.203,1.8577,3.40265,1.63834,0.35278,0.456,0.36471,0.16259,1.90609,2.52943,1.80854,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,122.079,1.83526,3.19517,1.59957,0.4711,0.43204,0.40684,0.18876,1.9002,2.44187,1.83765,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,141.999,1.79553,3.05754,1.56466,0.5462,0.47014,0.47108,0.22481,1.79457,2.15732,1.72806,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,155.581,1.76111,2.9388,1.55322,0.50766,0.56476,0.51152,0.25514,1.70448,2.03074,1.68437,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,169.01,1.73871,2.84942,1.52842,0.55564,0.52917,0.49968,0.24336,1.72338,2.08729,1.71498,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,182.636,1.6955,2.74262,1.49394,0.65376,0.4753,0.54055,0.27318,1.70773,1.94183,1.6349,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,196.332,1.68199,2.61668,1.4701,0.59834,0.56099,0.59415,0.28648,1.71239,1.90463,1.6662,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,209.864,1.67229,2.56168,1.46296,0.67993,0.59715,0.65901,0.32075,1.68083,1.74208,1.62683,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,223.433,1.65844,2.49701,1.45425,0.78969,0.59522,0.71217,0.3543,1.64345,1.65634,1.60789,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,237.046,1.64522,2.48925,1.45925,0.66396,0.65183,0.73545,0.37251,1.58351,1.54317,1.57393,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,250.778,1.63125,2.36262,1.44244,0.70688,0.6643,0.74077,0.3817,1.5745,1.57574,1.56916,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,264.52,1.60744,2.38567,1.43774,0.76367,0.68197,0.75376,0.38293,1.59788,1.54777,1.58674,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,278.108,1.61626,2.29345,1.42852,0.78478,0.6136,0.7245,0.36313,1.62038,1.5673,1.60198,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,291.607,1.58857,2.26343,1.40597,0.79254,0.65629,0.75869,0.38356,1.61373,1.47007,1.59875,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,305.149,1.58854,2.24107,1.41759,0.7623,0.70459,0.78778,0.40272,1.5448,1.423,1.53155,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,318.639,1.58619,2.19568,1.4041,0.78419,0.72112,0.80989,0.41801,1.57152,1.40035,1.52841,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
22,332.354,1.55238,2.15965,1.38871,0.84223,0.7139,0.81363,0.41469,1.57557,1.43765,1.58144,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
23,345.766,1.54454,2.12626,1.39608,0.75133,0.77217,0.83608,0.44393,1.53728,1.32062,1.5325,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
24,359.144,1.52856,2.05343,1.36509,0.78695,0.69197,0.78697,0.40162,1.59083,1.41405,1.58314,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
25,372.617,1.54568,2.06812,1.38274,0.74198,0.72068,0.79024,0.41039,1.58477,1.37826,1.53423,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
26,386.177,1.53727,2.04102,1.36586,0.83353,0.77146,0.86121,0.43784,1.57537,1.26969,1.52294,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
27,399.882,1.54216,2.03301,1.37239,0.78395,0.7896,0.83872,0.44617,1.54386,1.30289,1.52942,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
28,413.378,1.52721,2.00706,1.37383,0.84501,0.77347,0.85294,0.4423,1.56898,1.25504,1.53166,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327
29,426.806,1.53192,1.95729,1.36907,0.79382,0.77985,0.85034,0.43627,1.55098,1.27394,1.5074,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
