epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,31.5714,2.51026,4.94336,2.26588,0.00099,0.2611,0.00169,0.00056,3.03169,4.72391,2.68778,0.000990654,0.000330218,0.000990654,0.000330218,0.000990654,0.000330218,0.000990654,0.000330218
2,56.5958,2.20032,4.5948,2.05352,0.00938,0.13472,0.02292,0.01072,2.35072,4.08603,2.24926,0.00197095,0.000656982,0.00197095,0.000656982,0.00197095,0.000656982,0.00197095,0.000656982
3,79.7011,1.90833,4.0324,1.80437,0.74799,0.08865,0.08605,0.03368,2.08289,3.65293,1.98914,0.00293144,0.000977146,0.00293144,0.000977146,0.00293144,0.000977146,0.00293144,0.000977146
4,101.919,1.76267,3.58681,1.6442,0.37044,0.22314,0.17932,0.07873,2.05397,3.24785,1.8945,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,123.935,1.73872,3.35845,1.56808,0.4456,0.32894,0.25183,0.1201,1.89555,2.76295,1.78478,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,146.154,1.67678,3.11647,1.52171,0.56721,0.37878,0.34322,0.15585,1.77634,2.55722,1.72681,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,168.228,1.59935,2.90866,1.47952,0.48619,0.46705,0.43423,0.20278,1.82535,2.4832,1.73504,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,188.176,1.55666,2.71958,1.43241,0.55688,0.44617,0.51741,0.26119,1.71986,2.23677,1.6865,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,202.899,1.52517,2.57267,1.41295,0.47961,0.58693,0.56426,0.27481,1.66149,2.03592,1.62521,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,220.854,1.50567,2.52402,1.40997,0.55721,0.5728,0.56185,0.28024,1.65356,1.95335,1.63277,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
